T,V
24.0,1.1
25.0,1.2
26.0,1.2
27.0,1.3
28.0,1.3
29.0,1.4
30.0,1.4
31.0,1.4
32.0,1.5
33.0,1.5
34.0,1.6
35.0,1.6
36.0,1.7
37.0,1.8
38.0,1.8
39.0,1.9
40.0,1.9
41.0,2.0
42.0,2.0
43.0,2.1
44.0,2.1
45.0,2.2
46.0,2.2
47.0,2.3
48.0,2.3
49.0,2.4
50.0,2.4
51.0,2.5
52.0,2.5
53.0,2.6
54.0,2.6
55.0,2.7
56.0,2.8
57.0,2.8
58.0,2.9
59.0,2.9
60.0,3.0
